time,os,network interface,gps latitude,gps longitude,gps accuracy,ssid,bssid,wi-fi standard,frequency,channel,channel width,rssi,rssi+100,noise level,network delay (ms)
1696984986,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.918882,151.228605,4.61,uniwide,08:cc:68:b4:9e:3e,802.11ac,5GHz,132,80,-78.5,21.5,,4000
1697166809,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.918906,151.228884,2.6,uniwide,7c:0e:ce:dc:5d:0e,802.11ac,5GHz,52,80,-81,19,,4000
1697166848,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.918687,151.228961,4.7,uniwide,7c:0e:ce:dc:5d:0e,802.11ac,5GHz,52,80,-81,19,,4000
1697167242,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.918774,151.228568,4.7,uniwide,7c:0e:ce:dc:5d:0e,802.11ac,5GHz,52,80,-75,25,,4000
1697167278,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.918385,151.228644,6.17,uniwide,7c:0e:ce:dc:5d:0e,802.11ac,5GHz,52,80,-78.5,21.5,,4000
1697168870,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917647,151.228441,4.7,uniwide,a8:9d:21:5c:c2:fe,802.11ac,5GHz,132,80,-71.5,28.5,,4000
1696770549,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918071,151.231706,5,uniwide,a8:9d:21:85:19:e5,802.11g/n,2.4GHz,6,20,-83,17,-86,2157.442093
1696827773,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.917912,151.230613,5,uniwide,1c:e6:c7:0d:5c:a1,802.11g/n,2.4GHz,1,20,-68,32,-76,2350.194335
1696827773,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.917912,151.230613,5,uniwide,1c:e6:c7:0d:5c:a1,802.11g/n,2.4GHz,1,20,-72,28,-75,2350.194335
1696827773,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.917912,151.230613,5,uniwide,1c:e6:c7:0d:5c:a1,802.11g/n,2.4GHz,1,20,-73,27,-78,2350.194335
1696827773,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.917912,151.230613,5,uniwide,1c:e6:c7:0d:5c:a1,802.11g/n,2.4GHz,1,20,-74,26,-81,2350.194335